Date,Team,PTS,Opp,PTS
Sun May 22 2022,Aris,79,Panathinaikos OPAP,109
Sun May 22 2022,Larisa,71,Kolossos H Hotels,63
Mon May 23 2022,Promitheas Patras,95,AEK Athens,82
Tue May 24 2022,Panathinaikos OPAP,85,Aris,65
Tue May 24 2022,Kolossos H Hotels,82,Larisa,83
Wed May 25 2022,Peristeri bwin,67,Olympiacos,79
Wed May 25 2022,AEK Athens,75,Promitheas Patras,77
Fri May 27 2022,Olympiacos,92,Peristeri bwin,57
Sun May 29 2022,Larisa,77,Panathinaikos OPAP,87
Mon May 30 2022,Promitheas Patras,73,Olympiacos,116
Tue May 31 2022,Panathinaikos OPAP,77,Larisa,84
Wed Jun 1 2022,Olympiacos,102,Promitheas Patras,72
Fri Jun 3 2022,Larisa,82,Panathinaikos OPAP,94
Sat Jun 4 2022,Promitheas Patras,69,Olympiacos,106
Sun Jun 5 2022,Panathinaikos OPAP,62,Larisa,74
Wed Jun 8 2022,Larisa,43,Panathinaikos OPAP,89
Sat Jun 11 2022,Panathinaikos OPAP,61,Olympiacos,74
Sun Jun 12 2022,Larisa,89,Promitheas Patras,78
Tue Jun 14 2022,Olympiacos,78,Panathinaikos OPAP,72
Wed Jun 15 2022,Promitheas Patras,84,Larisa,88
Fri Jun 17 2022,Panathinaikos OPAP,74,Olympiacos,93
Sat Jun 18 2022,Larisa,78,Promitheas Patras,83
Tue Jun 21 2022,Promitheas Patras,94,Larisa,76
Thu Jun 23 2022,Larisa,56,Promitheas Patras,96
