,Regu,Regu,Regu,Regu,Regu,Regu
,W▼,L,W/L%,GB,PS/G,PA/G
Olympiacos *,23,1,.958,-,72.6,72.6
Panathinaikos OPAP *,22,2,.917,1.0,68.5,68.5
Kolossos H Hotels *,15,9,.625,8.0,73.8,73.8
AEK Athens *,13,11,.542,10.0,80.2,80.2
Promitheas Patras *,12,12,.500,11.0,78.3,78.3
Larisa *,12,12,.500,11.0,81.4,81.4
Aris *,11,13,.458,12.0,77.2,77.2
Peristeri bwin *,10,14,.417,13.0,77.6,77.6
PAOK mateco,10,14,.417,13.0,75.8,75.8
Lavrio Megabolt,8,16,.333,15.0,80.3,80.3
Apollon Patras,8,16,.333,15.0,79.7,79.7
Ionikos,6,18,.250,17.0,82.8,82.8
Iraklis,6,18,.250,17.0,79.6,79.6
